"SCFA","gene","relFreq_zeroTPM","relFreq_min10TPM","min_tpmAbd","mean_tpmAbd","median_tpmAbd","max_tpmAbd","model","model_deviance","model_meanAbsResid","freshInt_effect","freshInt_se","freshInt_pvalue","pastInt_effect","pastInt_se","pastInt_pvalue","phaseEffect","genderEffect","ageEffect","bmiEffect","ZIhurdle_freshInt_effect","ZIhurdle_freshInt_se","ZIhurdle_freshInt_pvalue","ZIhurdle_pastInt_effect","ZIhurdle_pastInt_se","ZIhurdle_pastInt_pvalue","ZIhurdle_phaseEffect","ZIhurdle_genderEffect","ZIhurdle_ageEffect","ZIhurdle_bmiEffect","logit_enoughObservationsAbove10TPMforEstimation","logit_modelDeviance","logit_tpmThreshold","logit_freshInt_effect","logit_freshInt_se","logit_freshInt_pvalue","logit_pastInt_effect","logit_pastInt_se","logit_pastInt_pvalue","logit_phaseEffect","logit_genderEffect","logit_ageEffect","logit_bmiEffect","freshInt_pvalue_correct","pastInt_pvalue_correct","ZIhurdle_freshInt_pvalue_correct","ZIhurdle_pastInt_pvalue_correct","logit_freshInt_pvalue_correct","logit_pastInt_pvalue_correct"
NA,"K00927",0,1,52.1953,182.0009,180.09,254.436,"Gaussian",0.5938,NA,-1.1911,2.3559,0.6136,-2.6956,2.3517,0.2527,1.497,6.0341,0.655,0.1149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4727,180.09,0.3987,0.3405,0.2417,-0.2922,0.3412,0.3918,0.292,0.9732,0.073,0.0814,0.8408,0.7023,NA,NA,0.9994,NA
NA,"K00928",0,1,19.4295,88.9211,89.6858,134.142,"Gaussian",0.5247,NA,-1.8349,1.8119,0.3121,-1.2032,1.8087,0.5065,1.5115,-1.6529,-0.0183,0.0586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3217,89.6858,-0.2272,0.2997,0.4484,0.1966,0.3004,0.5128,0.3696,-0.4842,-0.0022,0.0317,0.7248,0.8053,NA,NA,0.9994,NA
NA,"K00929",0,0.997,9.055,36.716,33.2379,101.009,"Gaussian",0.7364,NA,0.9139,1.3381,0.4953,-0.8649,1.3355,0.5178,-0.7197,4.7301,0.4273,0.4357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5324,33.2379,0.0432,0.3612,0.9049,-0.2405,0.3568,0.5003,-0.1796,0.6585,0.0559,0.037,0.8,0.8062,NA,NA,0.9997,NA
NA,"K00930",0,1,43.7951,155.7578,156.4375,248.804,"Gaussian",0.6257,NA,-0.7707,1.9313,0.6902,-4.1717,1.9276,0.0314,1.321,-2.4692,-0.0825,0.1132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4183,156.4375,-0.0607,0.32,0.8497,0.0222,0.3218,0.945,-0.2123,-0.4751,-0.0024,0.018,0.8796,0.3532,NA,NA,0.9997,NA
NA,"K00931",0,1,35.1839,134.6654,134.909,199.992,"Gaussian",0.5759,NA,-1.1301,1.8337,0.5382,-4.0444,1.8303,0.028,1.6787,1.8443,-0.015,0.3762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.463,134.909,-0.1887,0.3323,0.5702,0.0761,0.335,0.8204,0.2545,0.205,-0.0067,0.12,0.8166,0.3382,NA,NA,0.9994,NA
NA,"K00936",0,0.5753,0.5248,13.3729,10.8686,54.4083,"log-Gaussian",0.6658,NA,-0.0817,0.0508,0.1088,-0.1234,0.0507,0.0155,0.0442,-0.0792,-0.0055,0.0311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4529,10.8686,-0.126,0.3311,0.7035,-0.4217,0.3321,0.2041,0.2704,-0.6129,-0.0195,0.1271,0.5383,0.2834,NA,NA,0.9994,NA
NA,"K00937",0,1,47.0724,183.8806,186.015,245.489,"Gaussian",0.6427,NA,-1.3068,2.5344,0.6066,-3.3398,2.5296,0.1879,3.0325,-5.241,-0.3257,-0.1363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5016,186.015,-0.0686,0.3458,0.8428,0.2281,0.3483,0.5126,-0.0183,-0.0283,-0.0239,0.0389,0.8368,0.6497,NA,NA,0.9997,NA
NA,"K00939",0,1,46.48,184.1005,185.2205,249.911,"Gaussian",0.4943,NA,-3.7683,2.4147,0.1198,-5.8685,2.4106,0.0156,1.5954,3.6832,0.2434,0.9729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5339,185.2205,0.0317,0.3588,0.9296,-0.5337,0.3602,0.1385,-0.2128,0.8699,0.0298,0.1399,0.5581,0.2834,NA,NA,0.9997,NA
NA,"K00940",0,0.9518,2.9086,25.0948,21.9939,111.04,"log-Gaussian",0.6616,NA,0.031,0.0416,0.4578,-0.0763,0.0416,0.0677,-0.0059,0.0401,0.01,-0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4432,21.9939,-0.0801,0.3281,0.8073,-0.407,0.3298,0.2172,-0.1816,0.5357,0.0316,0.113,0.7851,0.4627,NA,NA,0.9997,NA
NA,"K00941",0,1,26.8967,136.2009,138.6155,213.004,"Gaussian",0.6835,NA,-4.4112,2.1409,0.0404,-4.8423,2.1368,0.0243,3.1287,-6.9058,-0.3929,1.1338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4119,138.6155,-0.5366,0.3234,0.097,-0.3309,0.321,0.3027,0.2187,-0.7718,-0.0407,0.1151,0.3761,0.3211,NA,NA,0.9994,NA
NA,"K00942",0,1,45.6424,155.206,156.233,198.035,"Gaussian",0.4644,NA,-1.6759,1.9125,0.3817,-3.6943,1.9095,0.0541,1.998,3.5826,0.2769,0.7134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.472,156.233,0.5003,0.3406,0.1419,-0.2116,0.3376,0.5307,0.184,0.778,0.0453,0.1558,0.7538,0.4249,NA,NA,0.9994,NA
NA,"K00943",0,1,37.941,104.9482,105.006,204.48,"Gaussian",0.5912,NA,0.0756,2.6653,0.9774,-0.8944,2.6605,0.737,2.3361,10.8679,0.4756,0.5174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.397,105.006,-0.1504,0.3176,0.6358,0.2291,0.3189,0.4725,-0.0201,0.7578,0.0465,0.0712,0.9896,0.9032,NA,NA,0.9994,NA
NA,"K00945",0,1,46.388,149.8065,150.51,188.921,"Gaussian",0.5226,NA,-1.9807,1.7803,0.2669,-2.4897,1.7774,0.1624,2.2101,4.056,0.4343,0.1257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4109,150.51,0.3754,0.3214,0.2427,0.0588,0.3251,0.8564,0.5259,0.824,0.0544,0.0449,0.7038,0.6193,NA,NA,0.9994,NA
NA,"K00946",0,0.7259,1.4585,19.4892,16.3918,102.89,"log-Gaussian",0.5852,NA,0.0074,0.0663,0.9118,-0.0296,0.0662,0.655,-0.0115,0.1317,0.0047,-0.0229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4871,16.3918,0.2716,0.3416,0.4266,0.2758,0.3425,0.4207,-0.0656,0.7111,0.0074,-0.0872,0.9664,0.8613,NA,NA,0.9994,NA
NA,"K00948",0,1,78.2159,242.989,245.185,328.814,"Gaussian",0.4809,NA,-3.615,3.2142,0.2617,-9.2595,3.2089,0.0042,3.291,-3.1117,0.2142,1.8912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4213,245.185,0.2114,0.3239,0.514,-0.1686,0.324,0.6028,0.3183,-0.5294,0.022,0.1779,0.7025,0.1776,NA,NA,0.9994,NA
NA,"K00949",0,1,41.8272,144.5056,147.0135,182.902,"Gaussian",0.5037,NA,-2.2411,2.1441,0.2969,-4.2623,2.1404,0.0475,2.8941,-0.4166,-0.0313,0.8976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3963,147.0135,-0.2201,0.3169,0.4874,-0.2502,0.3163,0.4289,-0.013,-0.4434,0.003,0.131,0.7172,0.4,NA,NA,0.9994,NA
NA,"K00950",0,0.991,5.5124,47.6645,42.2521,190.265,"log-Gaussian",0.6514,NA,0.0269,0.0487,0.5807,-0.0561,0.0486,0.2494,-0.0263,-0.0047,0.0034,-0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5209,42.2521,-0.2512,0.3547,0.4789,-0.295,0.352,0.4021,-0.1682,0.1412,0.0197,0.003,0.8293,0.7016,NA,NA,0.9994,NA
NA,"K00954",0,1,56.4224,174.0743,174.5535,236.337,"Gaussian",0.4598,NA,-1.6691,2.2879,0.4663,-6.3399,2.2842,0.0059,0.6347,2.5847,0.1968,0.8144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4529,174.5535,0.2004,0.3329,0.5472,-0.3915,0.3316,0.2378,-0.1379,0.4113,0.025,0.1276,0.7887,0.1941,NA,NA,0.9994,NA
NA,"K00955",0,0.1084,1.203,6.1111,5.525,16.7332,"Gaussian",0.6538,NA,0.2205,0.2617,0.4001,0.707,0.2612,0.0072,0.2366,-0.1477,0.0145,-0.0508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5894,10,0.2372,0.5584,0.6711,0.7556,0.544,0.1649,0.5371,-0.6727,0.0155,-0.1228,0.7599,0.2085,NA,NA,0.9994,NA
NA,"K00956",0,0.997,8.1809,51.4819,51.1433,96.0972,"Gaussian",0.7614,NA,-0.8054,1.1622,0.489,-0.1544,1.1599,0.8942,0.9426,-2.6422,-0.1679,-0.5614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4726,51.1433,-0.0971,0.3377,0.7738,0.0384,0.3371,0.9094,-0.1267,0.029,-0.0351,-0.0492,0.7965,0.959,NA,NA,0.9994,NA
NA,"K00957",0,0.997,9.0484,65.8405,65.551,111.667,"Gaussian",0.7562,NA,-0.666,1.385,0.631,1.3268,1.3821,0.338,1.1485,-2.9831,-0.1954,-0.5429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5748,65.551,0.1691,0.3713,0.6487,0.8767,0.3828,0.022,0.0669,-0.066,-0.0415,-0.0757,0.8514,0.7353,NA,NA,0.9994,NA
NA,"K00962",0,1,37.6102,156.0157,154.7795,223.617,"Gaussian",0.6006,NA,-1.8827,2.0438,0.3578,-4.4696,2.0401,0.0293,1.5566,5.197,0.4068,0.3159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5006,154.7795,0.1496,0.3479,0.6672,-0.4615,0.3475,0.1841,0.0476,0.7537,0.0485,0.0364,0.7464,0.347,NA,NA,0.9994,NA
NA,"K00963",0,0.994,6.7378,48.8764,44.4924,143.775,"Gaussian",0.6564,NA,-0.4105,1.8117,0.8209,-4.1722,1.8082,0.0218,0.9229,2.1269,0.1462,0.4254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4434,44.4924,0.0474,0.3272,0.8848,-0.5291,0.3301,0.109,0.1616,0.0642,0.0247,0.044,0.9313,0.3073,NA,NA,0.9997,NA
NA,"K00965",0,0.4608,0.6144,12.4704,9.3242,66.5772,"log-Gaussian",0.7177,NA,-0.0434,0.0568,0.4456,-0.107,0.0567,0.0604,0.0481,-0.0435,-0.0093,0.0558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4891,10,-0.0391,0.3443,0.9096,0.0337,0.343,0.9217,0.1629,-0.3671,-0.0392,0.2175,0.7797,0.4463,NA,NA,0.9997,NA
NA,"K00969",0,1,44.0056,152.7613,153.537,212.847,"Gaussian",0.5242,NA,-2.2437,1.8283,0.2208,-4.4702,1.8252,0.015,2.0049,3.3245,0.2569,0.3335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4679,153.537,-0.1687,0.337,0.6166,-0.056,0.338,0.8685,0.2163,0.9885,0.0357,0.1772,0.6772,0.2834,NA,NA,0.9994,NA
NA,"K00970",0,0.9458,5.9377,32.4685,28.9567,123.755,"Gaussian",0.6028,NA,0.4836,1.6632,0.7714,-4.0813,1.6601,0.0146,-1.2734,1.1706,-0.1597,0.2969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3456,28.9567,-0.0166,0.3038,0.9563,-0.0153,0.3038,0.9599,-0.3766,0.1889,-0.0163,0.0726,0.9159,0.2822,NA,NA,0.9997,NA
NA,"K00971",0,1,14.3787,75.3188,71.2173,221.543,"log-Gaussian",0.62,NA,0.011,0.0379,0.7712,-0.0195,0.0379,0.6068,-0.0134,-0.0653,-1e-04,-0.0244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5027,71.2173,0.4354,0.348,0.2109,0.3803,0.3482,0.2748,-0.3459,-0.7711,0.0078,-0.1506,0.9159,0.8368,NA,NA,0.9994,NA
NA,"K00972",0,0.8675,0.1968,24.531,22.8742,63.4493,"log-Gaussian",0.6368,NA,-0.0024,0.0592,0.968,0.0625,0.0591,0.2916,0.0504,0.1207,0.0069,-0.0086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4238,22.8742,0.0232,0.3249,0.9432,-0.017,0.3226,0.9581,0.4639,0.4802,0.0379,-0.0276,0.9864,0.7165,NA,NA,0.9997,NA
NA,"K00973",0,1,32.1095,163.4308,162.0465,297.049,"Gaussian",0.68,NA,-3.3256,2.6995,0.2191,-2.5989,2.6942,0.3357,-0.4363,-13.7101,-0.1547,-1.3088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5541,162.0465,-0.4604,0.3648,0.2069,0.2111,0.3678,0.5661,-0.3664,-1.4691,-0.0198,-0.1428,0.6759,0.7353,NA,NA,0.9994,NA
NA,"K00974",0,1,33.1875,121.5131,123.457,155.478,"Gaussian",0.4713,NA,-2.712,1.9454,0.1644,-0.9385,1.9422,0.6293,4.037,-0.5008,0.1718,1.0584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3974,123.457,-0.3433,0.3174,0.2793,-0.3034,0.3165,0.3378,0.3694,-0.2672,0.0311,0.0983,0.6232,0.8502,NA,NA,0.9994,NA
NA,"K00975",0,1,104.857,379.9185,387.136,497.64,"Gaussian",0.5405,NA,-6.7332,6.1903,0.2777,-8.5261,6.1795,0.1688,9.9313,-14.5704,-0.1681,2.9092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4252,387.136,-0.0973,0.3222,0.7627,-0.4429,0.3259,0.1742,0.307,-0.7756,-0.0041,0.1176,0.7114,0.6267,NA,NA,0.9994,NA
NA,"K00978",0,0.994,2.5248,48.3747,46.2503,127.343,"log-Gaussian",0.6857,NA,-0.0338,0.0345,0.3289,-0.0425,0.0344,0.2179,-0.0039,0.0739,4e-04,0.0046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5253,46.2503,-0.4906,0.3583,0.1709,-0.4496,0.3538,0.2038,0.0621,0.4095,0.0232,0.0306,0.7328,0.6756,NA,NA,0.9994,NA
NA,"K00979",0,0.9699,4.8155,29.9159,26.1032,96.7695,"log-Gaussian",0.6389,NA,-0.0657,0.0442,0.1382,-0.057,0.0441,0.1977,0.0114,-0.0127,0.0016,-0.0102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.457,26.1032,-0.1216,0.3325,0.7145,0.1609,0.3312,0.6271,-0.2239,0.4177,0.0022,-0.0482,0.5856,0.6569,NA,NA,0.9994,NA
NA,"K00980",0,1,14.9135,93.1096,91.0325,165.723,"Gaussian",0.6938,NA,-1.363,2.0518,0.5071,1.4165,2.0478,0.4897,3.8734,-7.5075,0.0159,-1.4472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.472,91.0325,0.1712,0.3361,0.6104,0.5426,0.3379,0.1083,0.217,-0.6668,-0.0132,-0.0864,0.8053,0.7968,NA,NA,0.9994,NA
NA,"K00981",0,1,62.2571,160.6587,160.327,227.645,"Gaussian",0.5579,NA,-3.4879,1.9862,0.0802,-5.55,1.9828,0.0055,1.4445,6.3443,0.3708,0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4598,160.327,0.1156,0.3345,0.7297,-0.521,0.3353,0.1202,0.084,0.8386,0.0437,0.0885,0.4868,0.1883,NA,NA,0.9994,NA
NA,"K00982",0,0.3072,0.2022,9.1819,6.5202,50.3981,"log-Gaussian",0.7194,NA,-0.0521,0.0618,0.3994,-0.133,0.0617,0.032,0.0849,-0.0148,-0.0092,0.0731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4887,10,-0.0854,0.3625,0.8137,-0.4531,0.3743,0.2261,0.0967,-0.0741,-0.0449,0.2176,0.7597,0.3543,NA,NA,0.9997,NA
NA,"K00986",0,1,209.884,723.3347,697.3455,1506.72,"Gaussian",0.746,NA,-20.2101,13.7102,0.1417,-8.4556,13.6824,0.5371,19.3694,-48.8036,0.114,-2.0523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4879,697.3455,0.0794,0.341,0.8158,0.0523,0.3439,0.8792,0.225,-0.6359,-0.004,-0.1068,0.593,0.8166,NA,NA,0.9997,NA
NA,"K00989",0,0.9729,5.0483,31.8169,29.2799,101.256,"log-Gaussian",0.6238,NA,-0.0102,0.0442,0.8181,-0.094,0.0441,0.034,0.0202,0.0661,0.006,0.0267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3903,29.2799,0.0876,0.3158,0.7816,-0.2286,0.3165,0.4701,-0.0417,0.4721,0.0298,0.1492,0.9303,0.3612,NA,NA,0.9997,NA
NA,"K00990",0.003,0.4217,0,12.1244,8.6272,74.1457,"log-Gaussian",0.7121,NA,-0.0493,0.0668,0.4612,-0.1568,0.0667,0.0194,0.0725,0.0018,-0.0091,0.0812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4375,10,-0.1051,0.3296,0.7498,-0.2571,0.3313,0.4377,0.1938,-0.2172,-0.0288,0.1909,0.7863,0.2988,NA,NA,0.9994,NA
NA,"K00991",0,1,26.0977,95.3585,96.9409,142.613,"Gaussian",0.5994,NA,-1.3015,1.8048,0.4715,0.3471,1.8016,0.8474,2.8842,-8.4117,-0.1627,0.8758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.411,96.9409,-0.1058,0.3199,0.7409,0.0761,0.3211,0.8126,0.3577,-0.8639,-0.0115,0.1313,0.7901,0.9404,NA,NA,0.9994,NA
NA,"K00992",0.009,0.3976,0,10.3322,7.7538,62.9566,"log-Gaussian",0.5861,NA,0.0745,0.0805,0.3553,-0.0668,0.0803,0.4065,-0.0224,-0.1855,-0.0061,-0.0091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3684,10,0.238,0.3137,0.4479,-0.1476,0.3153,0.6398,-0.3719,0.1437,-0.0098,-3e-04,0.7464,0.7615,NA,NA,0.9994,NA
NA,"K00995",0,1,31.9424,127.4257,127.793,178.401,"Gaussian",0.5452,NA,-0.4273,2.1162,0.8401,-1.5161,2.1125,0.4736,1.3711,7.5925,0.1888,1.2389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4209,127.793,0.0621,0.3234,0.8477,-0.2466,0.3239,0.4464,-0.0171,0.5575,0.0206,0.1736,0.9383,0.7906,NA,NA,0.9997,NA
NA,"K00996",0,0.3434,1.2199,9.1235,7.6928,42.3548,"log-Gaussian",0.7168,NA,-0.0331,0.0445,0.4581,-0.0667,0.0444,0.1342,0.0874,-0.1238,-0.0072,0.0081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5005,10,-0.0275,0.36,0.9391,-0.532,0.3648,0.1447,0.3122,-0.4357,-0.0347,0.0268,0.7851,0.5806,NA,NA,0.9997,NA
NA,"K00997",0,1,14.0641,72.7166,70.6697,148.791,"Gaussian",0.5225,NA,0.1182,2.1442,0.9561,-2.1974,2.1405,0.3055,2.2892,4.1198,0.194,0.2565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3514,70.6697,-0.0103,0.3059,0.9732,0.1191,0.3068,0.6979,0.2368,0.5409,0.0182,0.0984,0.9818,0.7216,NA,NA,0.9997,NA
NA,"K01000",0,1,36.7284,142.6003,143.3895,203.748,"Gaussian",0.5914,NA,-2.0518,2.1348,0.3374,-5.2443,2.131,0.0145,0.6312,6.2233,0.4838,0.6933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4386,143.3895,0.0785,0.3282,0.811,-0.235,0.3292,0.4752,0.0392,0.7554,0.0406,0.0937,0.7353,0.2819,NA,NA,0.9997,NA
NA,"K01002",0,0.997,9.5745,36.2103,34.6497,84.4344,"Gaussian",0.6977,NA,-0.7315,1.1119,0.5112,-1.1181,1.1097,0.3146,1.6576,-4.9634,-0.1256,0.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4432,34.6497,0.0639,0.3329,0.8477,-0.2472,0.3301,0.4538,0.3709,-0.9019,-0.0172,0.2042,0.8053,0.7275,NA,NA,0.9997,NA
NA,"K01005",0,1,112.004,396.6478,404.882,541.99,"Gaussian",0.5128,NA,-6.1007,6.2047,0.3264,-2.1057,6.1942,0.7342,10.1764,3.9371,0.8065,1.8338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3805,404.882,-0.6571,0.3168,0.0381,0.2316,0.3138,0.4606,0.4776,0.0456,0.0358,0.1237,0.7316,0.9027,NA,NA,0.9829,NA
"Pyruvate","K01006",0,1,49.8695,157.9606,156.3415,218.408,"Gaussian",0.6358,NA,-0.0812,2.0205,0.968,-0.5077,2.0168,0.8014,1.8072,2.8281,0.5622,-0.1777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5066,156.3415,0.2803,0.3502,0.4236,0.3401,0.3498,0.331,0.0583,0.4371,0.0684,0.0216,0.9864,0.9258,NA,NA,0.9994,NA
NA,"K01007",0,0.1566,0.188,6.1723,4.8677,44.3948,"log-Gaussian",0.7555,NA,-0.0165,0.0498,0.7402,-0.0572,0.0497,0.2506,0.0594,0.1111,0.0058,0.0031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.6291,10,-0.021,0.505,0.9669,-0.4483,0.5346,0.4017,-0.6664,0.4845,0.0152,0.081,0.9041,0.7023,NA,NA,0.9997,NA
NA,"K01008",0,1,16.0922,83.6787,83.8994,136.301,"Gaussian",0.6405,NA,-1.2515,1.63,0.4433,-1.6995,1.627,0.2972,3.0024,-7.9845,-0.0993,1.4391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4856,83.8994,-0.0548,0.3427,0.8731,0.0169,0.3433,0.9608,0.3898,-0.8431,-0.0238,0.2551,0.7797,0.7172,NA,NA,0.9997,NA
NA,"K01009",0,0.988,3.838,34.4833,31.5166,79.8377,"Gaussian",0.6798,NA,-0.3891,1.1286,0.7305,-1.4048,1.1264,0.2135,0.8629,-1.223,-0.2057,-0.1427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4093,31.5166,0.0937,0.3198,0.7696,-0.2362,0.3195,0.4597,0.0878,-0.4561,-0.0342,-0.0272,0.9014,0.6743,NA,NA,0.9994,NA
NA,"K01012",0,1,40.7229,155.8743,157.4395,236.026,"Gaussian",0.6099,NA,-1.5652,2.5696,0.543,0.4179,2.5648,0.8707,4.2727,-7.9484,-0.1805,0.9426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4183,157.4395,-0.3122,0.3201,0.3294,0.4551,0.3248,0.1612,0.3797,-0.3417,-0.0213,0.1189,0.8178,0.9499,NA,NA,0.9994,NA
NA,"K01023",0,0.997,4.9688,44.5361,43.4024,99.2876,"Gaussian",0.5745,NA,0.2793,1.3757,0.8393,-0.4575,1.3731,0.7393,2.1257,-2.2414,0.0161,0.2931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3886,43.4024,-0.0185,0.3143,0.9529,0.3178,0.3134,0.3106,0.2734,-0.429,0.0026,0.0407,0.9383,0.9041,NA,NA,0.9997,NA
"Acetate","K01026",0,0.9849,1.7202,22.6163,21.6738,52.1207,"Gaussian",0.5672,NA,-1.016,0.7835,0.1959,0.4856,0.7821,0.5352,0.5481,0.208,0.0683,0.4472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3683,21.6738,-0.6187,0.3121,0.0474,-0.0156,0.3086,0.9598,0.0739,0.291,0.0211,0.0784,0.656,0.816,NA,NA,0.9865,NA
"Acetate","K01034",0,0.1084,0.5776,6.0013,5.1856,32.311,"log-Gaussian",0.546,NA,-0.0301,0.0468,0.5206,0.1116,0.0467,0.0176,0.0724,-0.1442,-0.0013,0.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3411,10,0.0618,0.5162,0.9047,1.0987,0.4281,0.0103,-0.0885,-0.7475,-0.0075,0.0922,0.8081,0.2949,NA,NA,0.9997,NA
NA,"K01042",0,0.9096,2.1992,20.3644,18.9037,67.5662,"log-Gaussian",0.7487,NA,-0.01,0.0348,0.7749,-0.1247,0.0347,4e-04,0.0236,-0.0327,0.0041,0.0353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.579,18.9037,-0.096,0.375,0.798,-0.6379,0.3799,0.0931,0.1321,-0.0626,0.0208,0.1235,0.9178,0.073,NA,NA,0.9997,NA
NA,"K01046",0,0.4458,0.0939,12.1695,8.8131,59.7858,"log-Gaussian",0.6879,NA,0.0087,0.0703,0.902,0.1014,0.0701,0.1495,-0.0551,0.5163,0.0142,-0.0203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.572,10,-0.0543,0.3763,0.8853,0.2446,0.3785,0.5182,0.4129,1.8768,0.058,-0.0895,0.9632,0.6021,NA,NA,0.9997,NA
NA,"K01048",0,0.997,6.521,46.3706,45.9207,102.969,"log-Gaussian",0.7296,NA,-0.042,0.0335,0.2108,-0.107,0.0334,0.0016,0.026,-0.0532,-0.0082,0.0351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4796,45.9207,-0.2109,0.3398,0.5349,-0.7361,0.3413,0.031,0.2297,-0.3779,-0.0484,0.1614,0.6737,0.1196,NA,NA,0.9994,NA
NA,"K01051",0,0.988,9.0967,54.6096,51.2667,154.213,"log-Gaussian",0.662,NA,-0.0146,0.045,0.745,-0.0197,0.0449,0.6606,-0.0093,0.0414,-0.0059,0.0045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4307,51.2667,0.0768,0.325,0.8131,0.3125,0.3244,0.3353,0.0216,0.1375,-0.0211,-0.0452,0.9047,0.8634,NA,NA,0.9997,NA
NA,"K01054",0,0.4458,1.1992,10.4977,9.2175,33.3365,"log-Gaussian",0.7133,NA,-0.048,0.0421,0.2552,-0.0195,0.042,0.6422,-0.0141,-0.0892,0.0064,0.0141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4406,10,0.0735,0.3296,0.8235,-0.0568,0.3303,0.8634,-0.0682,-0.6058,0.0395,0.0116,0.7023,0.8548,NA,NA,0.9997,NA
NA,"K01056",0,1,63.6502,206.0511,206.286,259.938,"Gaussian",0.4359,NA,-3.0015,2.44,0.2197,-5.2712,2.4363,0.0313,4.0913,3.326,0.4116,0.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4739,206.286,0.2168,0.3371,0.5202,-0.196,0.3425,0.5672,0.4468,0.9224,0.0468,0.1841,0.6763,0.3532,NA,NA,0.9994,NA
NA,"K01057",0.003,0.5693,0,13.8775,11.5382,72.6434,"log-Gaussian",0.6953,NA,0.0219,0.0594,0.7126,-0.1535,0.0592,0.0101,0.0106,-0.0053,-0.0113,0.0393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5193,11.5382,0.0107,0.3548,0.9759,-0.5518,0.3517,0.1167,0.2569,-0.0513,-0.0248,0.1381,0.8903,0.2399,NA,NA,0.9997,NA
