"SCFA","gene","relFreq_zeroTPM","relFreq_min10TPM","min_tpmAbd","mean_tpmAbd","median_tpmAbd","max_tpmAbd","model","model_deviance","model_meanAbsResid","freshInt_effect","freshInt_se","freshInt_pvalue","pastInt_effect","pastInt_se","pastInt_pvalue","phaseEffect","genderEffect","ageEffect","bmiEffect","ZIhurdle_freshInt_effect","ZIhurdle_freshInt_se","ZIhurdle_freshInt_pvalue","ZIhurdle_pastInt_effect","ZIhurdle_pastInt_se","ZIhurdle_pastInt_pvalue","ZIhurdle_phaseEffect","ZIhurdle_genderEffect","ZIhurdle_ageEffect","ZIhurdle_bmiEffect","logit_enoughObservationsAbove10TPMforEstimation","logit_modelDeviance","logit_tpmThreshold","logit_freshInt_effect","logit_freshInt_se","logit_freshInt_pvalue","logit_pastInt_effect","logit_pastInt_se","logit_pastInt_pvalue","logit_phaseEffect","logit_genderEffect","logit_ageEffect","logit_bmiEffect","freshInt_pvalue_correct","pastInt_pvalue_correct","ZIhurdle_freshInt_pvalue_correct","ZIhurdle_pastInt_pvalue_correct","logit_freshInt_pvalue_correct","logit_pastInt_pvalue_correct"
NA,"K07106",0,0.9217,3.8441,25.6921,24.3405,83.0239,"log-Gaussian",0.6916,NA,0.0564,0.0424,0.1839,-0.0487,0.0423,0.2509,-0.018,0.0307,0.0039,-7e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4533,24.3405,0.1645,0.333,0.6214,-0.3127,0.3297,0.343,-0.3555,-0.1171,0.0258,-0.0673,0.6443,0.7023,NA,NA,0.9994,NA
NA,"K07107",0,1,33.7409,107.9222,106.671,262.489,"Gaussian",0.5426,NA,-0.8718,2.6612,0.7435,-4.2787,2.6565,0.1084,-0.7379,3.4508,0.1058,-1.7012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3191,106.671,-0.5106,0.3019,0.0908,-0.2142,0.2991,0.4738,-0.1247,0.4489,0.0111,-0.1134,0.9047,0.5381,NA,NA,0.9994,NA
NA,"K07114",0,0.994,6.916,44.9378,42.1557,213.467,"log-Gaussian",0.5591,NA,0.0488,0.0481,0.3118,-0.012,0.048,0.8034,0.0108,0.0674,0.0039,-0.0236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3165,42.1557,0.318,0.3,0.2891,0.0822,0.299,0.7835,-0.0588,0.3944,0.0229,-0.0902,0.7248,0.9258,NA,NA,0.9994,NA
NA,"K07118",0.003,0.1355,0,6.2758,5.188,30.3307,"Gaussian",0.7349,NA,0.4868,0.3712,0.1909,-0.0747,0.3705,0.8403,-0.0495,1.6022,-0.0606,-0.0875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.6362,10,0.537,0.5311,0.3119,-0.2151,0.5634,0.7027,-0.1218,1.1807,-0.0236,0.038,0.6516,0.9383,NA,NA,0.9994,NA
NA,"K07124",0,1,17.9066,71.1688,71.3584,135.585,"Gaussian",0.6153,NA,-0.9286,1.6173,0.5663,0.049,1.6143,0.9758,1.8288,4.9413,0.0784,0.2804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4134,71.3584,-0.1047,0.32,0.7436,-0.1438,0.3194,0.6526,0.1363,0.4774,0.0097,0.0266,0.8285,0.9887,NA,NA,0.9994,NA
NA,"K07126",0,1,38.4752,122.8818,112.904,503.797,"log-Gaussian",0.6924,NA,-7e-04,0.0362,0.9853,0.0032,0.0362,0.9304,0.0152,0.1907,0.0092,-0.0058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5503,112.904,0.0968,0.3639,0.7903,0.3312,0.3694,0.37,0.3688,1.6128,0.0478,-0.0206,0.9913,0.9749,NA,NA,0.9997,NA
NA,"K07129",0,0.1777,0.0577,6.4725,4.7573,41.7291,"log-Gaussian",0.8242,NA,0.0566,0.0445,0.205,0.057,0.0444,0.2008,0.0052,0.3115,0.0101,0.0071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5903,10,0.4196,0.4713,0.3733,0.3283,0.4746,0.4891,-0.38,1.396,0.0533,-0.0509,0.6654,0.6612,NA,NA,0.9994,NA
NA,"K07130",0,0.9819,4.8153,32.1068,30.526,87.1427,"log-Gaussian",0.6484,NA,0.0085,0.0366,0.8178,-0.0616,0.0366,0.0932,0.0682,0.1408,0.0046,0.0147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5318,30.526,-0.1326,0.3581,0.7111,-0.3805,0.3602,0.2908,0.019,1.118,0.0482,0.0993,0.9303,0.5114,NA,NA,0.9994,NA
NA,"K07133",0,1,141.942,641.8843,581.306,1673.61,"Gaussian",0.7477,NA,-9.6871,17.1354,0.5724,-17.8553,17.1008,0.2974,3.1502,-80.3104,1.2131,0.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.6092,581.306,0.0075,0.3936,0.9847,-0.0067,0.3928,0.9863,0.0815,-0.3271,0.0165,0.0486,0.8285,0.7172,NA,NA,0.9997,NA
NA,"K07137",0,1,84.7468,266.6787,267.5735,342.29,"Gaussian",0.521,NA,-2.4386,3.4536,0.4807,-3.9609,3.4478,0.2516,3.7408,6.453,0.7991,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4199,267.5735,0.1516,0.3245,0.6404,-0.2757,0.3235,0.394,0.2562,0.5668,0.0528,0.0646,0.7956,0.7023,NA,NA,0.9994,NA
NA,"K07138",0,1,33.1964,128.2373,128.871,197.015,"Gaussian",0.5628,NA,-1.2384,2.3149,0.5931,-6.1723,2.311,0.008,1.2352,2.0271,0.5185,1.1392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4754,128.871,-0.0903,0.3414,0.7915,-0.4419,0.3401,0.1938,0.0986,0.1955,0.0533,0.1986,0.8314,0.2186,NA,NA,0.9997,NA
NA,"K07139",0,1,22.3466,127.5974,130.5205,172.218,"Gaussian",0.5563,NA,-2.1583,1.9249,0.2632,0.7853,1.9215,0.6831,2.0568,-5.9747,-0.0829,0.2607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3262,130.5205,0.0362,0.299,0.9035,0.799,0.3075,0.0094,0.5307,-0.9472,-0.0103,0.0015,0.7025,0.8761,NA,NA,0.9997,NA
